"id","gender","birthyr","race","educ","faminc","inputstate","pid3","pid7","votereg","ideo5","newsint","marstat","child18","employ","presvote16post","region"
308507975,1,1977,6,3,2,12,3,4,1,2,3,5,2,4,4,3
376047356,1,1987,6,3,2,41,4,3,1,1,2,5,2,1,4,4
155610426,1,1976,4,3,5,42,3,3,1,3,1,1,2,8,1,1
309916074,1,1987,4,4,2,6,3,5,1,3,1,5,2,8,2,4
284531302,1,1979,7,3,2,36,4,4,1,6,1,1,1,1,7,1
346769100,1,1985,4,3,2,6,5,8,1,4,5,1,2,1,7,4
157019778,1,1974,5,3,2,37,3,4,1,4,1,5,2,6,2,3
291390966,1,1979,6,3,10,12,1,1,1,1,1,1,1,1,1,3
369383104,1,1987,4,4,5,29,1,1,1,1,1,5,2,1,1,2
139436982,1,1976,4,5,11,48,5,4,2,6,4,1,1,1,7,3
335846181,1,1987,6,5,9,6,2,6,1,3,1,1,2,1,7,4
152712426,1,1979,6,5,8,51,4,5,1,6,1,1,2,4,3,3
293612269,1,1974,4,5,97,6,2,6,1,3,2,1,1,1,2,4
314643657,1,1979,4,5,10,53,3,4,2,3,3,1,2,1,7,4
363865074,1,1984,6,5,97,48,1,2,3,3,1,5,2,8,1,3
313631156,1,1984,6,5,5,29,3,4,1,3,1,1,2,1,3,2
365749068,1,1984,4,5,9,36,3,3,1,2,2,5,2,1,3,1
355132266,1,1980,4,5,5,6,1,2,1,2,1,5,2,1,1,4
135277526,1,1987,4,5,6,41,2,7,1,5,2,1,1,1,2,4
139536319,1,1980,7,5,5,9,1,1,1,2,1,5,2,9,1,1
282646132,1,1975,6,5,2,8,3,3,1,3,2,5,2,2,1,4
136460568,1,1981,7,5,10,16,3,4,1,3,1,1,1,1,2,4
328190190,1,1987,4,5,8,6,1,1,1,1,1,5,2,1,1,4
311491060,1,1980,7,5,3,42,3,4,1,3,1,5,1,8,2,1
143734408,1,1985,4,5,5,1,3,3,1,4,3,5,2,2,7,3
365701986,1,1979,4,6,11,6,3,4,1,3,2,1,1,1,1,4
375874890,1,1987,4,6,9,25,1,1,1,2,1,5,2,8,1,1
387009727,1,1986,7,6,8,25,3,3,1,2,1,1,2,1,1,1
132948290,1,1977,4,6,9,48,3,4,1,3,3,1,2,1,7,3
387320534,1,1986,4,6,9,42,3,3,1,2,2,1,1,1,3,1
386532061,1,1980,6,6,11,42,3,3,1,3,1,1,1,1,1,1
369085513,1,1986,4,6,97,37,1,1,1,1,1,5,2,1,1,3
377443100,1,1980,6,6,5,16,4,3,1,1,1,1,2,1,1,4
286474117,1,1975,7,6,97,36,5,4,1,6,1,1,1,1,2,1
280620283,1,1988,5,6,4,27,3,4,2,3,1,1,1,1,2,2
143630633,1,1979,4,6,4,34,5,8,3,3,3,1,2,1,7,1
316713984,1,1986,5,6,16,6,5,8,2,6,3,5,2,6,7,4
345709902,1,1985,4,6,3,6,1,2,1,2,4,5,2,4,1,4
293856002,1,1988,5,6,9,6,3,3,1,2,1,1,2,1,1,4
147353331,1,1982,7,6,97,16,2,7,1,5,2,5,2,2,2,4
155937669,1,1960,7,2,97,42,4,4,1,5,1,1,2,1,2,1
135564302,1,1969,7,2,9,48,3,5,1,3,2,1,2,1,2,3
323721166,1,1972,7,2,1,27,2,6,1,6,1,1,2,1,7,2
369478269,1,1963,7,2,1,23,2,7,1,5,2,1,1,5,2,1
311459798,1,1964,7,2,10,40,2,6,1,4,1,3,2,1,2,3
331635030,1,1968,7,2,97,48,4,4,3,6,2,5,2,9,7,3
143384226,1,1955,5,2,97,50,3,3,1,3,1,1,1,5,6,1
154617168,1,1955,5,2,10,29,2,7,1,4,1,1,2,1,2,2
303430777,1,1965,6,2,8,48,1,1,1,2,1,1,1,1,1,3
148344776,1,1959,7,2,13,37,4,4,1,5,2,1,2,1,2,3
300874384,1,1956,7,1,11,37,2,7,1,5,1,1,2,1,6,3
387233986,1,1965,7,1,4,2,4,4,1,5,1,1,1,1,2,4
350979782,1,1968,6,2,7,42,3,4,1,2,1,1,1,1,2,1
159359864,1,1968,7,2,3,4,4,5,1,5,1,1,2,1,2,4
302571373,1,1966,7,2,11,15,2,7,1,4,1,1,2,9,2,4
140039304,1,1956,7,2,9,51,3,5,1,4,1,1,2,1,2,3
340232647,1,1965,7,2,97,36,4,4,1,6,3,5,2,7,2,1
298153099,1,1958,4,2,2,33,1,2,2,3,1,1,1,1,7,1
283135600,1,1960,6,2,12,48,3,5,1,4,1,1,2,1,2,3
332413178,1,1966,5,2,11,26,1,1,1,4,1,1,2,1,1,2
283828775,1,1956,5,4,4,39,3,4,1,3,1,1,2,3,2,2
134380693,1,1954,5,3,6,6,3,5,1,4,2,1,2,6,7,4
138008338,1,1960,7,3,8,24,4,4,1,2,1,1,2,1,1,3
154429603,1,1973,4,3,4,48,3,4,1,4,4,3,2,1,2,3
316691969,1,1972,6,3,3,48,1,1,1,1,1,1,1,2,1,3
144957168,1,1966,4,3,6,8,3,4,1,1,1,3,2,1,4,4
156957170,1,1965,4,3,3,6,2,6,2,4,1,5,1,1,7,4
137899859,1,1955,7,3,97,6,1,1,1,3,1,1,2,2,1,4
139336861,1,1970,4,3,8,32,2,6,1,3,2,1,1,1,2,4
139431361,1,1959,7,3,7,48,4,5,1,5,1,1,2,1,2,3
146315266,1,1965,5,4,2,1,3,4,1,4,5,3,2,5,2,3
141355416,1,1966,6,4,4,24,1,1,1,3,1,5,2,6,1,3
146515123,1,1957,4,3,10,10,3,4,1,4,3,1,2,1,6,3
336662682,1,1973,5,4,10,26,3,4,1,3,1,1,1,1,2,2
159022870,1,1956,6,5,4,12,1,1,1,3,1,5,2,1,1,3
156109561,1,1956,6,5,31,6,3,5,1,4,1,1,2,1,2,4
149300339,1,1961,5,5,97,24,3,4,1,3,2,1,1,1,3,3
144761987,1,1964,7,5,97,53,2,7,1,4,1,1,2,1,2,4
